"list_id","list_name","list_abbrev","list_educationForm_id","list_educationForm_name","list_facultyId","list_code"
"20002","Автоматизированные системы обработки информации","АСОИ","1","дневная","",""
"20002","Автоматизированные системы обработки информации","АСОИ","","","20005","1-53 01 02"
"20054","Автоматизированные системы обработки информации","АСОИ","3","дистанционная","",""
"20054","Автоматизированные системы обработки информации","АСОИ","","","20034","1-53 01 02"
"20550","Автоматизированные системы обработки информации","АСОИ","3","дистанционная","",""
"20550","Автоматизированные системы обработки информации","АСОИ","","","20005","1-53 01 02"
"20003","Информационные технологии и управление в технических системах","ИТиУвТС","1","дневная","",""
"20003","Информационные технологии и управление в технических системах","ИТиУвТС","","","20005","1-53 01 07"
"20040","Информационные технологии и управление в технических системах","ИТиУвТС","2","заочная","",""
"20040","Информационные технологии и управление в технических системах","ИТиУвТС","","","20034","1-53 01 07"
"20060","Информационные технологии и управление в технических системах","ИТиУвТС","3","дистанционная","",""
"20060","Информационные технологии и управление в технических системах","ИТиУвТС","","","20034","1-53 01 07"
"20067","Информационные технологии и управление в технических системах","ИТиУвТС","4","вечерняя","",""
"20067","Информационные технологии и управление в технических системах","ИТиУвТС","","","20005","1-53 01 07"
"20199","Информационные технологии и управление в технических системах","ИТиУвТС","4","вечерняя","",""
"20199","Информационные технологии и управление в технических системах","ИТиУвТС","","","20033","1-53 01 07"
"20233","Информационные технологии и управление в технических системах","ИТиУвТС","2","заочная","",""
"20233","Информационные технологии и управление в технических системах","ИТиУвТС","","","20033","1-53 01 07"
"20540","Информационные технологии и управление в технических системах","ИТиУвТС","2","заочная","",""
"20540","Информационные технологии и управление в технических системах","ИТиУвТС","","","20005","1-53 01 07"
"20004","Искусственный интеллект","ИИ","1","дневная","",""
"20004","Искусственный интеллект","ИИ","","","20005","1-40 03 01"
"20062","Искусственный интеллект","ИИ","3","дистанционная","",""
"20062","Искусственный интеллект","ИИ","","","20034","1-40 03 01"
"20005","Промышленная электроника","ПЭ","1","дневная","",""
"20005","Промышленная электроника","ПЭ","","","20005","1-36 04 02"
"20230","Промышленная электроника","ПЭ","2","заочная","",""
"20230","Промышленная электроника","ПЭ","","","20033","1-36 04 02"
"20007","Информационные системы и технологии (по направлениям)","ИСиТ(вЭ)","1","дневная","",""
"20007","Информационные системы и технологии (по направлениям)","ИСиТ(вЭ)","","","20012","1-40 05 01"
"20039","Информационные системы и технологии (по направлениям)","ИСиТ(вЭ)","2","заочная","",""
"20039","Информационные системы и технологии (по направлениям)","ИСиТ(вЭ)","","","20034","1-40 05 01"
"20058","Информационные системы и технологии (по направлениям)","ИСиТ(вЭ)","3","дистанционная","",""
"20058","Информационные системы и технологии (по направлениям)","ИСиТ(вЭ)","","","20034","1-40 05 01"
"20208","Информационные системы и технологии (по направлениям)","ИСиТ(вЭ)","2","заочная","",""
"20208","Информационные системы и технологии (по направлениям)","ИСиТ(вЭ)","","","20033","1-40 05 01"
"20556","Информационные системы и технологии (по направлениям)","ИСиТ(вЭ)","3","дистанционная","",""
"20556","Информационные системы и технологии (по направлениям)","ИСиТ(вЭ)","","","20012","1-40 05 01"
"20008","Маркетинг","Маркетинг","1","дневная","",""
"20008","Маркетинг","Маркетинг","","","20012","1-26 02 03"
"20064","Маркетинг","Маркетинг","3","дистанционная","",""
"20064","Маркетинг","Маркетинг","","","20034","1-26 02 03"
"20009","Экономика и организация производства (по направлениям)","ЭиОП","1","дневная","",""
"20009","Экономика и организация производства (по направлениям)","ЭиОП","","","20012","1-27 01 01-11"
"20050","Экономика и организация производства (по направлениям)","ЭиОП","2","заочная","",""
"20050","Экономика и организация производства (по направлениям)","ЭиОП","","","20034","1-27 01 01-11"
"20235","Экономика и организация производства (по направлениям)","ЭиОП","2","заочная","",""
"20235","Экономика и организация производства (по направлениям)","ЭиОП","","","20033","1-27 01 01-11"
"20010","Инженерно-психологическое обеспечение информационных технологий","ИПОИТ","1","дневная","",""
"20010","Инженерно-психологическое обеспечение информационных технологий","ИПОИТ","","","20017","1-58 01 01"
"20038","Инженерно-психологическое обеспечение информационных технологий","ИПОИТ","2","заочная","",""
"20038","Инженерно-психологическое обеспечение информационных технологий","ИПОИТ","","","20034","1-58 01 01"
"20124","Инженерно-психологическое обеспечение информационных технологий","ИПОИТ","3","дистанционная","",""
"20124","Инженерно-психологическое обеспечение информационных технологий","ИПОИТ","","","20034","1-58 01 01"
"20198","Инженерно-психологическое обеспечение информационных технологий","ИПОИТ","4","вечерняя","",""
"20198","Инженерно-психологическое обеспечение информационных технологий","ИПОИТ","","","20033","1-58 01 01"
"20204","Инженерно-психологическое обеспечение информационных технологий","ИПОИТ","2","заочная","",""
